1.000000,-nan,-nan,1.000000,-nan,
0.894737,1.000000,0.800000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.950000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.952381,0.909091,0.900000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.950000,0.900000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.952381,1.000000,0.900000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.950000,1.000000,0.909091,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.952381,1.000000,0.900000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.952381,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.950000,1.000000,0.916667,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,0.909091,1.000000,1.000000,
