-nan,-nan,-nan,1.000000,-nan,
0.900000,0.818182,0.900000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.950000,0.900000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.900000,1.000000,0.900000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.909091,0.909091,0.833333,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.947368,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.850000,0.666667,0.900000,1.000000,-nan,
0.952381,1.000000,0.909091,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.952381,0.916667,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.842105,0.777778,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
0.800000,0.900000,0.600000,1.000000,-nan,
0.952381,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
0.947368,0.909091,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
1.000000,1.000000,1.000000,1.000000,-nan,
